,lncRNA,disease,pred,label,evidence,
945,NCAM1-AS1,DOID:10534,0.973756194,0,0,MNDR
3026,MIAT,DOID:10534,0.932350755,0,1,
3919,BCYRN1,DOID:10534,0.909090817,0,1,
4023,LINC01426,DOID:10534,0.906376719,0,0,
15977,CBR3-AS1,DOID:10534,0.872414064,0,1,
5356,LINC00629,DOID:10534,0.866577685,0,1,
18023,KCNQ1OT1,DOID:10534,0.852789354,0,1,
6048,MIR22HG,DOID:10534,0.847474694,0,1,
7540,FAM83H-AS1,DOID:10534,0.814583659,0,1,
7947,PWRN1,DOID:10534,0.806918204,0,1,
8146,LINC00473,DOID:10534,0.802542329,0,1,
8878,DIO3OS,DOID:10534,0.787125111,0,0,
9831,CCDC26,DOID:10534,0.7665748,0,0,
17513,XIST,DOID:10534,0.757359183,0,1,
10661,LINC-ROR,DOID:10534,0.747816384,0,1,
11455,LINC01184,DOID:10534,0.733090401,0,0,
11812,MIR181A1HG,DOID:10534,0.726066113,0,0,
11822,IGF2-AS,DOID:10534,0.725912035,0,0,MNDR
11947,ZNF667-AS1,DOID:10534,0.723428726,0,0,MNDR
12385,CRNDE,DOID:10534,0.716391742,0,1,
12766,LINC00602,DOID:10534,0.711518645,0,0,
13427,PTCSC2,DOID:10534,0.701882303,0,0,
14115,FALEC,DOID:10534,0.69254148,0,1,
14411,CADM3-AS1,DOID:10534,0.689044356,0,0,
14841,DBET,DOID:10534,0.684073865,0,0,
898,GABPB1-AS1,DOID:10534,0.674459946,0,0,
16036,EWSAT1,DOID:10534,0.671980798,0,0,
16675,MIR503HG,DOID:10534,0.665605783,0,0,
17051,MIR124-2HG,DOID:10534,0.661586583,0,0,
18198,CASC8,DOID:10534,0.650926292,0,0,
18215,NRON,DOID:10534,0.65075022,0,0,
6035,LINC00654,DOID:10534,0.647907007,0,0,
19901,HCCAT5,DOID:10534,0.633751094,0,0,
21152,GATA3-AS1,DOID:10534,0.61947155,0,0,
21258,GPR1-AS,DOID:10534,0.618136168,0,0,
21574,CYTOR,DOID:10534,0.613969147,0,0,
21809,JAZF1-AS1,DOID:10534,0.610497117,0,0,
22324,GNAS-AS1,DOID:10534,0.603794158,0,0,
22775,PCGEM1,DOID:10534,0.597621739,0,1,
23605,OIP5-AS1,DOID:10534,0.585257173,0,1,
24596,THRIL,DOID:10534,0.570314884,0,0,
25344,LINC00856,DOID:10534,0.558167517,0,0,
25531,LINC00312,DOID:10534,0.555400133,0,0,
27711,LINC00336,DOID:10534,0.51910609,0,0,
27779,MALAT1,DOID:10534,0.517883778,0,1,
27937,PEG3-AS1,DOID:10534,0.51528573,0,0,
27938,PRNCR1,DOID:10534,0.515281618,0,1,
28879,LRRC3DN,DOID:10534,0.499022841,0,0,
29086,LINC01587,DOID:10534,0.495417237,0,0,
29252,MIR7-3HG,DOID:10534,0.493033141,0,0,
29365,MIR137HG,DOID:10534,0.491493225,0,0,
29529,LINC00315,DOID:10534,0.489196002,0,0,
29870,EGOT,DOID:10534,0.484051585,0,1,
29960,PSORS1C3,DOID:10534,0.482916534,0,0,
30357,HOTTIP,DOID:10534,0.475858986,0,1,
30638,LINC00261,DOID:10534,0.471627265,0,1,
30675,TARID,DOID:10534,0.471019685,0,0,
30794,DBH-AS1,DOID:10534,0.469307721,0,0,
31594,C5orf66-AS1,DOID:10534,0.457573533,0,1,
32046,PWAR5,DOID:10534,0.45143351,0,0,
32416,LINC01080,DOID:10534,0.44613108,0,0,
34394,CDKN2A-AS1,DOID:10534,0.41981864,0,0,
34791,LINC01098,DOID:10534,0.414537132,0,0,
34968,SERTAD4-AS1,DOID:10534,0.412007511,0,0,
35565,SNHG12,DOID:10534,0.404121697,0,1,
35678,LINC00511,DOID:10534,0.402354181,0,1,
35695,DANCR,DOID:10534,0.402124137,0,1,
35813,TTTY4,DOID:10534,0.400428742,0,0,
36196,NPTN-IT1,DOID:10534,0.39500013,0,0,
36647,CASC2,DOID:10534,0.388941884,0,1,
36668,PCAT1,DOID:10534,0.388681144,0,1,
37426,PARD6G-AS1,DOID:10534,0.378030926,0,0,
38063,LINC00271,DOID:10534,0.368184716,0,0,
38092,TUSC8,DOID:10534,0.367710978,0,0,
39444,TRERNA1,DOID:10534,0.347154677,0,1,
39445,HCG9,DOID:10534,0.347150147,0,0,
40523,HCG27,DOID:10534,0.328893036,0,0,
41050,EPB41L4A-AS1,DOID:10534,0.31981045,0,0,
41234,MINCR,DOID:10534,0.316943765,0,0,
41543,SNHG11,DOID:10534,0.312782913,0,0,
42356,HPN-AS1,DOID:10534,0.301190943,0,0,
43269,NALT1,DOID:10534,0.288435668,0,1,
43672,MIR155HG,DOID:10534,0.283200651,0,0,
43879,PANDAR,DOID:10534,0.280588567,0,1,
45046,HOXA11-AS,DOID:10534,0.26588729,0,1,
45110,HCP5,DOID:10534,0.265184939,0,1,
46194,IL12A-AS1,DOID:10534,0.252279192,0,0,
47116,FENDRR,DOID:10534,0.242854133,0,1,
47409,RMST,DOID:10534,0.239635378,0,0,
47593,SNHG4,DOID:10534,0.237785012,0,0,
47722,DLEU2,DOID:10534,0.236430049,0,1,
48481,LINC00467,DOID:10534,0.22848852,0,0,
48486,LINC00663,DOID:10534,0.228447974,0,1,
48804,LINC00963,DOID:10534,0.224970102,0,0,
48973,HELLPAR,DOID:10534,0.223149046,0,0,
49181,PSMB8-AS1,DOID:10534,0.221173629,0,0,
49196,LOXL1-AS1,DOID:10534,0.221004277,0,1,
49280,ZEB1-AS1,DOID:10534,0.220155224,0,1,
49583,NORAD,DOID:10534,0.217464864,0,1,
49644,COL18A1-AS1,DOID:10534,0.216899872,0,0,
50600,LINC00477,DOID:10534,0.207362965,0,0,
50786,DSCR9,DOID:10534,0.205551833,0,0,
51169,LINC01628,DOID:10534,0.201769367,0,0,
51211,MESTIT1,DOID:10534,0.20135732,0,0,
51458,LUCAT1,DOID:10534,0.198993608,0,1,
51528,LINC01588,DOID:10534,0.198195472,0,0,
51698,CCAT2,DOID:10534,0.196447909,0,1,
